region,colour/name,year,stars,notes,entered by
Bordeaux,Red,1784,5,,HNE
Bordeaux,Red,1811,5,,HNE
Bordeaux,Red,1825,5,,HNE
Bordeaux,Red,1844,5,,HNE
Bordeaux,Red,1846,5,,HNE
Bordeaux,Red,1847,5,,HNE
Bordeaux,Red,1848,5,,HNE
Bordeaux,Red,1858,5,,HNE
Bordeaux,Red,1864,5,,HNE
Bordeaux,Red,1865,5,,HNE
Bordeaux,Red,1870,5,,HNE
Bordeaux,Red,1875,5,,HNE
Bordeaux,Red,1899,5,,HNE
Bordeaux,Red,1791,4,,HNE
Bordeaux,Red,1814,4,,HNE
Bordeaux,Red,1861,4,,HNE
Bordeaux,Red,1869,4,,HNE
Bordeaux,Red,1871,4,,HNE
Bordeaux,Red,1874,4,,HNE
Bordeaux,Red,1877,4,,HNE
Bordeaux,Red,1878,4,,HNE
Bordeaux,Red,1893,4,,HNE
Bordeaux,Red,1895,4,,HNE
Bordeaux,Red,1896,4,,HNE
Bordeaux,Red,1787,3,,HNE
Bordeaux,Red,1803,3,,HNE
Bordeaux,Red,1832,3,,HNE
Bordeaux,Red,1863,3,,HNE
Bordeaux,Red,1868,3,,HNE
Bordeaux,Red,1887,3,,HNE
Bordeaux,Red,1888,3,,HNE
Bordeaux,Red,1892,3,(v),HNE
Bordeaux,Red,1898,3,(v),HNE
Bordeaux,Red,1900,5,,HNE
Bordeaux,Red,1904,4,,HNE
Bordeaux,Red,1911,4,,HNE
Bordeaux,Red,1905,3,,HNE
Bordeaux,Red,1906,3,,HNE
Bordeaux,Red,1914,3,,HNE
Bordeaux,Red,1918,3,,HNE
Bordeaux,Red,1919,3,,HNE
Bordeaux,Red,1920,5,,HNE
Bordeaux,Red,1926,5,,HNE
Bordeaux,Red,1928,5,,HNE
Bordeaux,Red,1929,5,,HNE
Bordeaux,Red,1921,4,,HNE
Bordeaux,Red,1924,3,,HNE
Bordeaux,Red,1934,4,,HNE
Bordeaux,Red,1933,3,,HNE
Bordeaux,Red,1945,5,,HNE
Bordeaux,Red,1947,5,,HNE
Bordeaux,Red,1949,5,,HNE
Bordeaux,Red,1943,3,,HNE
Bordeaux,Red,1946,3,,HNE
Bordeaux,Red,1948,3,,HNE
Bordeaux,Red,1953,5,,HNE
Bordeaux,Red,1959,5,,HNE
Bordeaux,Red,1952,4,(v),HNE
Bordeaux,Red,1955,4,(v),HNE
Bordeaux,Red,1961,5,,HNE
Bordeaux,Red,1962,4,,HNE
Bordeaux,Red,1964,4,,HNE
Bordeaux,Red,1966,4,,HNE
Bordeaux,Red,1970,4,,HNE
Bordeaux,Red,1971,4,,HNE
Bordeaux,Red,1975,4,,HNE
Bordeaux,Red,1976,3,(v),HNE
Bordeaux,Red,1978,3,,HNE
Bordeaux,Red,1982,5,,HNE
Bordeaux,Red,1985,5,,HNE
Bordeaux,Red,1989,5,,HNE
Bordeaux,Red,1986,4,,HNE
Bordeaux,Red,1988,4,,HNE
Bordeaux,Red,1981,3,,HNE
Bordeaux,Red,1983,3,,HNE
Bordeaux,Red,1990,5,,HNE
Bordeaux,Red,1995,4,,HNE
Bordeaux,Red,1996,4,(v),HNE
Bordeaux,Red,1999,4,(v),HNE
Bordeaux,Red,1993,3,(v),HNE
Bordeaux,Red,1994,3,,HNE
Bordeaux,Red,1997,3,,HNE
Bordeaux,Red,1998,3,(v),HNE
Bordeaux,Red,2000,4,(v),JS
Bordeaux,White,1784,5,,HNE
Bordeaux,White,1802,5,,HNE
Bordeaux,White,1811,5,,HNE
Bordeaux,White,1831,5,,HNE
Bordeaux,White,1834,5,,HNE
Bordeaux,White,1847,5,,HNE
Bordeaux,White,1864,5,,HNE
Bordeaux,White,1865,5,,HNE
Bordeaux,White,1869,5,,HNE
Bordeaux,White,1875,5,,HNE
Bordeaux,White,1893,5,,HNE
Bordeaux,White,1787,4,,HNE
Bordeaux,White,1814,4,,HNE
Bordeaux,White,1825,4,,HNE
Bordeaux,White,1828,4,,HNE
Bordeaux,White,1841,4,,HNE
Bordeaux,White,1848,4,,HNE
Bordeaux,White,1858,4,,HNE
Bordeaux,White,1871,4,,HNE
Bordeaux,White,1874,4,,HNE
Bordeaux,White,1896,4,,HNE
Bordeaux,White,1899,4,,HNE
Bordeaux,White,1818,3,,HNE
Bordeaux,White,1822,3,,HNE
Bordeaux,White,1851,3,,HNE
Bordeaux,White,1859,3,,HNE
Bordeaux,White,1861,3,,HNE
Bordeaux,White,1870,3,,HNE
Bordeaux,White,1906,5,,HNE
Bordeaux,White,1921,5,,HNE
Bordeaux,White,1929,5,,HNE
Bordeaux,White,1900,4,,HNE
Bordeaux,White,1904,4,,HNE
Bordeaux,White,1909,4,,HNE
Bordeaux,White,1926,4,,HNE
Bordeaux,White,1928,4,,HNE
Bordeaux,White,1914,3,,HNE
Bordeaux,White,1918,3,,HNE
Bordeaux,White,1920,3,,HNE
Bordeaux,White,1923,3,,HNE
Bordeaux,White,1924,3,,HNE
Bordeaux,White,1937,5,,HNE
Bordeaux,White,1945,5,,HNE
Bordeaux,White,1947,5,,HNE
Bordeaux,White,1949,5,,HNE
Bordeaux,White,1934,4,,HNE
Bordeaux,White,1942,4,,HNE
Bordeaux,White,1943,4,,HNE
Bordeaux,White,1935,3,,HNE
Bordeaux,White,1939,3,,HNE
Bordeaux,White,1944,3,,HNE
Bordeaux,White,1955,5,,HNE
Bordeaux,White,1959,5,,HNE
Bordeaux,White,1967,5,,HNE
Bordeaux,White,1953,4,,HNE
Bordeaux,White,1962,4,,HNE
