year	harvestdate
1370	27
1371	25
1372	28.1
1373	20.7
1374	28.2
1375	20.2
1376	25.2
1377	21
1378	25.5
1379	24.7
1380	22.2
1381	23.5
1382	15.7
1383	7.5
1384	6.9
1385	9.9
1386	20
1387	23
1388	27.5
1389	25.5
1390	15.1
1391	16.2
1392	39.7
1393	3.4
1394	38
1395	20
1396	26
1397	22
1398	25
1399	26
1400	11.6
1401	19.9
1402	16.9
1403	19.1
1404	29.9
1405	28.7
1406	26.7
1407	29.2
1408	29.7
1409	19.7
1410	17.2
1411	37.2
1412	19.1
1413	15.9
1414	30
1415	22.9
1416	26.4
1417	22.8
1418	11.7
1419	20.9
1420	-1.1
1421	25.7
1422	12.5
1423	26.6
1424	12.7
1425	16
1426	14.9
1427	25
1428	36
1429	24
1430	15
1431	19
1432	18
1433	12
1434	1
1435	25
1436	56
1437	28
1438	27
1439	27
1440	28
1441	18
1442	13
1443	26
1444	22
1445	36
1446	43
1447	43
1448	50
1449	29
1450	25
1451	39
1452	24
1453	37
1454	34
1455	31
1456	33
1457	14
1458	18
1459	36
1460	21
1461	16
1462	8
1463	35
1464	14
1465	41
1466	27
1467	27
1468	32
1469	20
1470	37
1471	11
1472	23
1473	-2
1474	39
1475	31
1476	28
1477	41
1478	19
1479	16
1480	39
1481	47
1482	16
1483	15
1484	20
1485	43
1486	20
1487	22
1488	42
1489	31
1490	25
1491	45
1492	31
1493	35
1494	18
1495	12
1496	42
1497	41
1498	26
1499	28
1500	14
1501	19
1502	29
1503	28
1504	14
1505	43
1506	28
1507	21
1508	30
1509	20
1510	30
1511	44
1512	24
1513	25
1514	37
1515	35
1516	12
1517	26
1518	32
1519	40
1520	35
1521	4
1522	5
1523	-5
1524	14
1525	21
1526	27
1527	35
1528	35
1529	43
1530	15
1531	26
1532	20
1533	36
1534	28
1535	38
1536	8
1537	38
1538	20
1539	26
1540	34
1541	34
1542	50
1543	31
1544	28
1545	14
1546	25
1547	29
1548	31
1549	34
1550	37
1551	28
1552	13
1553	35
1554	22
1555	42
1556	5
1557	33
1558	30
1559	4
1560	34
1561	25
1562	26
1563	28
1564	48
1565	32
1566	30
1567	20
1568	34
1569	26
1570	30
1571	14
1572	22
1573	41
1574	28
1575	26
1576	30
1577	33
1578	22
1579	39
1580	31
1581	33
1582	28
1583	13
1584	25
1585	37
1586	32
1587	43
1588	24
1589	26
1590	10
1591	32
1592	32
1593	31
1594	33
1595	25
1596	34
1597	43
1598	23
1599	14
1600	44
1601	38
1602	28
1603	16
1604	22
1605	19
1606	35
1607	24
1608	31
1609	28
1610	20
1611	15
1612	31
1613	26
1614	36
1615	21
1616	12
1617	33
1618	36
1619	26
1620	28
1621	46
1622	24
1623	16
1624	14
1625	34
1626	31
1627	45
1628	44
1629	27
1630	20
1631	20
1632	34
1633	37
1634	33
1635	21
1636	4
1637	3
1638	9
1639	20
1640	31
1641	33
1642	33
1643	31
1644	15
1645	11
1646	17
1647	18
1648	31
1649	38
1650	34
1651	22
1652	20
1653	11
1654	32
1655	23
1656	26
1657	22
1658	30
1659	30
1660	30
1661	15
1662	22
1663	38
1664	19
1665	15
1666	10
1667	28
1668	19
1669	11
1670	22
1671	16
1672	28
1673	35
1674	20
1675	44
1676	9
1677	27
1678	20
1679	23
1680	9
1681	9
1682	28
1683	13
1684	4
1685	12
1686	4
1687	29
1688	27
1689	27
1690	22
1691	17
1692	39
1693	30
1694	15
1695	33
1696	31
1697	24
1698	43
1699	28
1700	33.6
1701	26.1
1702	20.1
1703	27.1
1704	14.6
1705	30.1
1706	8.1
1707	25.1
1708	25.1
1709	30.1
1710	21.1
1711	26.6
1712	28.6
1713	37.1
1714	31.1
1715	28.1
1716	34.1
1717	27.1
1718	5.1
1719	6.1
1720	29.2
1721	34.6
1722	26.1
1723	18.1
1724	19.1
1725	44.1
1726	11.6
1727	13.6
1728	18.1
1729	34.1
1730	31.1
1731	23.1
1732	25.6
1733	26.1
1734	18.1
1735	39.6
1736	22.1
1737	21.1
1738	34.1
1739	28.1
1740	49.6
1741	30.1
1742	36.1
1743	29.1
1744	34.1
1745	30.6
1746	28.6
1747	33.6
1748	29.1
1749	30.6
1750	27.1
1751	39.6
1752	31.6
1753	23.1
1754	35.1
1755	21.6
1756	39.1
1757	28.1
1758	26.6
1759	25.6
1760	20.1
1761	19.1
1762	19.1
1763	39.1
1764	19.6
1765	32.1
1766	29.1
1767	40.1
1768	31.6
1769	31.1
1770	41.6
1771	29.1
1772	28.6
1773	32.1
1774	25.6
1775	30.1
1776	32.6
1777	35.6
1778	26.1
1779	25.1
1780	23.6
1781	15.1
1782	35.1
1783	20.6
1784	18.6
1785	26.1
1786	30.1
1787	37.1
1788	18.1
1789	39.6
1790	28.6
1791	21.1
1792	35.1
1793	27.6
1794	17.2
1795	31.2
1796	37.6
1797	38.6
1798	18.1
1799	42.1
1800	25
1801	31.2
