"year","region","colour.name","stars"
1947,"bordeaux","white",5
1947,"burgundy","red",4
1947,"burgundy","white",5
1948,"bordeaux","red",3
1948,"bordeaux","white",1.5
1948,"burgundy","red",1.5
1948,"burgundy","white",1.5
1949,"bordeaux","red",5
1949,"bordeaux","white",5
1949,"burgundy","red",5
1949,"burgundy","white",4
1950,"bordeaux","red",1.5
1950,"bordeaux","white",1.5
1950,"burgundy","red",1.5
1950,"burgundy","white",3
1951,"bordeaux","red",1.5
1951,"bordeaux","white",1.5
1951,"burgundy","red",1.5
1951,"burgundy","white",1.5
1952,"bordeaux","red",4
1952,"bordeaux","white",3
1952,"burgundy","red",4
1952,"burgundy","white",4
1953,"bordeaux","red",5
1953,"bordeaux","white",4
1953,"burgundy","red",4
1953,"burgundy","white",4
1954,"bordeaux","red",1.5
1954,"bordeaux","white",1.5
1954,"burgundy","red",1.5
1954,"burgundy","white",1.5
1955,"bordeaux","red",4
1955,"bordeaux","white",5
1955,"burgundy","red",3
1955,"burgundy","white",4
1956,"bordeaux","red",1.5
1956,"bordeaux","white",1.5
1956,"burgundy","red",1.5
1956,"burgundy","white",1.5
1957,"bordeaux","red",1.5
1957,"bordeaux","white",1.5
1957,"burgundy","red",3
1957,"burgundy","white",3
1958,"bordeaux","red",1.5
1958,"bordeaux","white",1.5
1958,"burgundy","red",1.5
1958,"burgundy","white",1.5
1959,"bordeaux","red",5
1959,"bordeaux","white",5
1959,"burgundy","red",5
1959,"burgundy","white",3
1960,"bordeaux","red",1.5
1960,"bordeaux","white",1.5
1960,"burgundy","red",1.5
1960,"burgundy","white",1.5
1961,"bordeaux","red",5
1961,"bordeaux","white",3
1961,"burgundy","red",4
1961,"burgundy","white",4
1962,"bordeaux","red",4
1962,"bordeaux","white",4
1962,"burgundy","red",5
1962,"burgundy","white",5
1963,"bordeaux","red",1.5
1963,"bordeaux","white",1.5
1963,"burgundy","red",1.5
1963,"burgundy","white",1.5
1964,"bordeaux","red",4
1964,"bordeaux","white",1.5
1964,"burgundy","red",4
1964,"burgundy","white",3
1965,"bordeaux","red",1.5
1965,"bordeaux","white",1.5
1965,"burgundy","red",1.5
1965,"burgundy","white",1.5
1966,"bordeaux","red",4
1966,"bordeaux","white",3
1966,"burgundy","red",4
1966,"burgundy","white",5
1967,"bordeaux","red",1.5
1967,"bordeaux","white",5
1967,"burgundy","red",1.5
1967,"burgundy","white",4
1968,"bordeaux","red",1.5
1968,"bordeaux","white",1.5
1968,"burgundy","red",1.5
1968,"burgundy","white",1.5
