"region","colour.name","year","stars","notes.sg","entered.by.sg","notes.he","entered.by.he"
"alsace","unclear",1865,5,"","sg","","HNE"
"alsace","unclear",1900,5,"","sg","","HNE"
"alsace","unclear",1921,4,"","sg","","HNE"
"alsace","unclear",1928,4,"","sg","","HNE"
"alsace","unclear",1934,4,"","sg","","HNE"
"alsace","unclear",1935,3,"","sg","","HNE"
"alsace","unclear",1937,5,"","sg","","HNE"
"alsace","unclear",1945,5,"","sg","","HNE"
"alsace","unclear",1953,3,"","sg","","HNE"
"alsace","unclear",1959,5,"","sg","","HNE"
"alsace","unclear",1961,5,"","sg","","HNE"
"alsace","unclear",1964,4,"","sg","","HNE"
"alsace","unclear",1966,3,"","sg","","HNE"
"alsace","unclear",1967,4,"","sg","","HNE"
"alsace","unclear",1971,5,"","sg","","HNE"
"alsace","unclear",1975,3,"","sg","","HNE"
"alsace","unclear",1976,5,"","sg","","HNE"
"alsace","unclear",1981,4,"","sg","","HNE"
"alsace","unclear",1983,5,"","sg","","HNE"
"alsace","unclear",1985,4,"","sg","","HNE"
"alsace","unclear",1986,4,"(v)","sg","(v)","HNE"
"alsace","unclear",1988,5,"(v)","sg","(v)","HNE"
"alsace","unclear",1989,5,"","sg","","HNE"
"alsace","unclear",1990,5,"","sg","","HNE"
"alsace","unclear",1992,4,"(v)","sg","(v)","HNE"
"alsace","unclear",1993,4,"","sg","","HNE"
"alsace","unclear",1994,3,"(v)","sg","(v)","HNE"
"alsace","unclear",1995,5,"(v)","sg","(v)","HNE"
"alsace","unclear",1996,4,"","sg","","HNE"
"alsace","unclear",1997,5,"","sg","","HNE"
"alsace","unclear",1998,4,"","sg","","HNE"
"alsace","unclear",1999,3,"(v)","sg","(v)","HNE"
"alsace","unclear",2000,4,NA,NA,"(v)","HNE"
"bordeaux","red",1784,5,"","sg","","HNE"
"bordeaux","red",1787,3,"","sg","","HNE"
"bordeaux","red",1791,4,"","sg","","HNE"
"bordeaux","red",1803,3,"","sg","","HNE"
"bordeaux","red",1811,5,"","sg","","HNE"
"bordeaux","red",1814,4,"","sg","","HNE"
"bordeaux","red",1825,5,"","sg","","HNE"
"bordeaux","red",1832,3,"","sg","","HNE"
"bordeaux","red",1844,5,"","sg","","HNE"
"bordeaux","red",1846,5,"","sg","","HNE"
"bordeaux","red",1847,5,"","sg","","HNE"
"bordeaux","red",1848,5,"","sg","","HNE"
"bordeaux","red",1858,5,"","sg","","HNE"
"bordeaux","red",1861,4,"","sg","","HNE"
"bordeaux","red",1863,3,"","sg","","HNE"
"bordeaux","red",1864,5,"","sg","","HNE"
"bordeaux","red",1865,5,"","sg","","HNE"
"bordeaux","red",1868,3,"","sg","","HNE"
"bordeaux","red",1869,4,"","sg","","HNE"
"bordeaux","red",1870,5,"","sg","","HNE"
"bordeaux","red",1871,4,"","sg","","HNE"
"bordeaux","red",1874,4,"","sg","","HNE"
"bordeaux","red",1875,5,"","sg","","HNE"
"bordeaux","red",1877,4,"","sg","","HNE"
"bordeaux","red",1878,4,"","sg","","HNE"
"bordeaux","red",1887,3,"","sg","","HNE"
"bordeaux","red",1888,3,"","sg","","HNE"
"bordeaux","red",1892,3,"(v)","sg","(v)","HNE"
"bordeaux","red",1893,4,"","sg","","HNE"
